Command(s) run:
python -m unittest discover -s tests/e2e -p "test_f1*.py" -v

127.0.0.1 - - [03/Jun/2026 21:20:54] "GET /app/ HTTP/1.1" 200 -
test_inputs_removed (test_f1_dialogs.F1DialogTests.test_inputs_removed) ... 127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/ HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/vendor/coloris.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/vendor/moveable.min.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/css/shell.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/shell/file-controls.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/api-client.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/vendor/coloris.min.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/bridge/bridge-parent.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/shell/color-popover.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/shell/comment-composer.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/vendor/purify.min.js HTTP/1.1" 200 -
ok
test_open_cancel (test_f1_dialogs.F1DialogTests.test_open_cancel) ... 127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/ HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/vendor/coloris.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/css/shell.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/vendor/moveable.min.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/shell/color-popover.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/bridge/bridge-parent.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/api-client.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/shell/file-controls.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/shell/comment-composer.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/vendor/coloris.min.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "POST /api/_test/set-dialog HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/vendor/purify.min.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "POST /api/dialog-open HTTP/1.1" 200 -
ok
test_open_via_dialog (test_f1_dialogs.F1DialogTests.test_open_via_dialog) ... 127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/ HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/vendor/coloris.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/vendor/moveable.min.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/css/shell.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/vendor/coloris.min.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/bridge/bridge-parent.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/shell/color-popover.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/api-client.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/shell/file-controls.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/shell/comment-composer.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "POST /api/_test/set-dialog HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /app/js/vendor/purify.min.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "POST /api/dialog-open HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /doc/deck.html HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /doc/assets/gsmm-logo.png HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /doc/assets/founder-henrique.jpeg HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /doc/assets/founder-luiz.jpeg HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /doc/assets/tecer-wordmark-white.png HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:55] "GET /doc/assets/founder-guilherme.png HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/runtime-main.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /doc/assets/cover-bg.jpg HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /doc/assets/bg-dark-threads.jpg HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /doc/assets/closing-bg.jpg HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/text-format.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/history.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/selection.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/serializer.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/element-registry.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/bridge-iframe.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/comments.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/text-edit.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/color.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/commands.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/interaction.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/reorder.js HTTP/1.1" 200 -
ok
test_save_as_writes (test_f1_dialogs.F1DialogTests.test_save_as_writes) ... 127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /app/ HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /app/js/vendor/coloris.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /app/css/shell.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /app/js/vendor/moveable.min.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /app/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /app/js/vendor/coloris.min.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /app/js/shell/file-controls.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /app/js/shell/comment-composer.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /app/js/bridge/bridge-parent.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /app/js/api-client.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /app/js/shell/color-popover.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "POST /api/_test/set-dialog HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /app/js/vendor/purify.min.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "POST /api/dialog-open HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /doc/deck.html HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /doc/assets/founder-guilherme.png HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /doc/assets/founder-luiz.jpeg HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /doc/assets/tecer-wordmark-white.png HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /doc/assets/founder-henrique.jpeg HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /doc/assets/gsmm-logo.png HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/runtime-main.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /doc/assets/cover-bg.jpg HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /doc/assets/closing-bg.jpg HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /doc/assets/bg-dark-threads.jpg HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/history.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/selection.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/bridge-iframe.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/text-format.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/element-registry.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/serializer.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/color.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/text-edit.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/commands.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/interaction.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/comments.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /runtime/js/reorder.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /app/js/vendor/moveable.min.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "POST /api/_test/set-dialog HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /doc/assets/tecer-wordmark-white.png HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /doc/assets/gsmm-logo.png HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /doc/assets/founder-guilherme.png HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /doc/assets/founder-luiz.jpeg HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "GET /doc/assets/founder-henrique.jpeg HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:56] "POST /api/dialog-save-as HTTP/1.1" 200 -
ok
test_save_fallback_to_dialog_when_no_open (test_f1_dialogs.F1DialogTests.test_save_fallback_to_dialog_when_no_open) ... 127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /app/ HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /app/js/vendor/coloris.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /app/css/shell.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /app/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /app/js/vendor/moveable.min.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /app/js/vendor/coloris.min.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /app/js/shell/comment-composer.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /app/js/bridge/bridge-parent.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /app/js/shell/color-popover.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /app/js/shell/file-controls.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /app/js/api-client.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /app/js/vendor/purify.min.js HTTP/1.1" 200 -
ok
test_save_overwrites_open (test_f1_dialogs.F1DialogTests.test_save_overwrites_open) ... 127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /app/ HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /app/js/vendor/coloris.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /app/css/shell.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /app/js/vendor/moveable.min.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /app/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /app/js/vendor/coloris.min.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /app/js/shell/file-controls.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /app/js/api-client.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /app/js/bridge/bridge-parent.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /app/js/shell/comment-composer.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /app/js/shell/color-popover.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "POST /api/_test/set-dialog HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /app/js/vendor/purify.min.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "POST /api/dialog-open HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /doc/deck.html HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /doc/assets/gsmm-logo.png HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /doc/assets/tecer-wordmark-white.png HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /doc/assets/founder-guilherme.png HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /doc/assets/founder-luiz.jpeg HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /doc/assets/founder-henrique.jpeg HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /runtime/js/runtime-main.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /doc/assets/cover-bg.jpg HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /doc/assets/bg-dark-threads.jpg HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:57] "GET /doc/assets/closing-bg.jpg HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:58] "GET /runtime/js/selection.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:58] "GET /runtime/js/text-format.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:58] "GET /runtime/js/bridge-iframe.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:58] "GET /runtime/js/serializer.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:58] "GET /runtime/js/history.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:58] "GET /runtime/js/element-registry.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:58] "GET /runtime/js/commands.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:58] "GET /runtime/js/comments.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:58] "GET /runtime/js/color.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:58] "GET /runtime/js/text-edit.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:58] "GET /runtime/js/interaction.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:58] "GET /runtime/js/reorder.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:58] "GET /app/js/vendor/moveable.min.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:58] "GET /doc/assets/tecer-wordmark-white.png HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:58] "GET /doc/assets/founder-guilherme.png HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:58] "POST /api/save HTTP/1.1" 200 -
127.0.0.1 - - [03/Jun/2026 21:20:58] "GET /doc/assets/gsmm-logo.png HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:58] "GET /doc/assets/founder-luiz.jpeg HTTP/1.1" 404 -
127.0.0.1 - - [03/Jun/2026 21:20:58] "GET /doc/assets/founder-henrique.jpeg HTTP/1.1" 404 -
ok

----------------------------------------------------------------------
Ran 6 tests in 4.692s

OK
EXITCODE=0
