probe-suite summary
generated: 2026-07-15T16:10:20.357Z

[server/heart/probes]
probe-enqueue | EXIT: 0 | WALL_MS: 67
probe-jobslog | EXIT: 0 | WALL_MS: 62
probe-reject | EXIT: 0 | WALL_MS: 56
probe-session-row | EXIT: 0 | WALL_MS: 52
probe-single-writer | EXIT: 0 | WALL_MS: 68

[server/spawn/probes]
probe-flag-injection | EXIT: 0 | WALL_MS: 78
probe-killtree | EXIT: 0 | WALL_MS: 395
probe-mode-gate | EXIT: 0 | WALL_MS: 385
probe-orphan-rescan | EXIT: 0 | WALL_MS: 621
probe-spawn | EXIT: 0 | WALL_MS: 419
probe-survive-close | EXIT: 0 | WALL_MS: 246
probe-workdir-gate | EXIT: 0 | WALL_MS: 358

[server/ticker/probes]
probe-blocked-redispatch | EXIT: 0 | WALL_MS: 3129
probe-budget | EXIT: 0 | WALL_MS: 3817
probe-cap | EXIT: 0 | WALL_MS: 1430
probe-crash | EXIT: 0 | WALL_MS: 1297
probe-idempotent | EXIT: 0 | WALL_MS: 519
probe-periodic | EXIT: 0 | WALL_MS: 5089
probe-recycle | EXIT: 0 | WALL_MS: 1933
probe-scheduled | EXIT: 0 | WALL_MS: 2566
probe-stall | EXIT: 0 | WALL_MS: 1143

